date,symbol,open,high,low,close,volume
2023-10-26,563300.SH,0.953,0.966,0.942,0.964,74813200
2023-10-26,588000.SH,0.885,0.893,0.879,0.892,3212358536
2023-10-27,563300.SH,0.96,0.979,0.957,0.975,71336400
2023-10-27,588000.SH,0.887,0.909,0.885,0.906,3774003041
2023-10-30,563300.SH,0.974,0.987,0.971,0.985,68728200
2023-10-30,588000.SH,0.901,0.925,0.901,0.92,4257622557
2023-10-31,563300.SH,0.984,0.986,0.974,0.976,63164700
2023-10-31,588000.SH,0.92,0.924,0.911,0.917,2449846100
2023-11-01,563300.SH,0.979,0.985,0.977,0.982,75170800
2023-11-01,588000.SH,0.918,0.92,0.91,0.913,2154371847
2023-11-02,563300.SH,0.982,0.988,0.971,0.972,51597000
2023-11-02,588000.SH,0.913,0.918,0.902,0.903,2605620526
2023-11-03,563300.SH,0.972,0.987,0.972,0.984,46666200
2023-11-03,588000.SH,0.904,0.919,0.904,0.918,3166394736
2023-11-06,563300.SH,0.989,1.005,0.986,1.005,83050700
2023-11-06,588000.SH,0.924,0.936,0.923,0.934,3746580690
2023-11-07,563300.SH,1.001,1.017,1.001,1.014,81721600
2023-11-07,588000.SH,0.93,0.937,0.927,0.935,2879079878
2023-11-08,563300.SH,1.014,1.022,1.011,1.02,65299800
2023-11-08,588000.SH,0.933,0.95,0.932,0.943,4499333281
2023-11-09,563300.SH,1.024,1.024,1.009,1.014,76973200
2023-11-09,588000.SH,0.942,0.948,0.935,0.937,2600844091
2023-11-10,563300.SH,1.01,1.013,1.003,1.009,68351900
2023-11-10,588000.SH,0.932,0.936,0.927,0.931,2553968289
2023-11-13,563300.SH,1.013,1.024,1.011,1.023,59827400
2023-11-13,588000.SH,0.934,0.938,0.93,0.937,2188207856
2023-11-14,563300.SH,1.02,1.03,1.019,1.028,70058600
2023-11-14,588000.SH,0.936,0.947,0.935,0.946,2799827585
2023-11-15,563300.SH,1.045,1.045,1.03,1.036,75386900
2023-11-15,588000.SH,0.955,0.956,0.941,0.942,2833871730
2023-11-16,563300.SH,1.036,1.039,1.028,1.033,76821400
2023-11-16,588000.SH,0.94,0.941,0.927,0.928,2864207113
2023-11-17,563300.SH,1.028,1.044,1.027,1.042,62362400
2023-11-17,588000.SH,0.926,0.932,0.924,0.932,2098538050
2023-11-20,563300.SH,1.044,1.054,1.04,1.05,101363500
2023-11-20,588000.SH,0.933,0.937,0.924,0.934,2349669994
2023-11-21,563300.SH,1.052,1.054,1.04,1.043,82540700
2023-11-21,588000.SH,0.935,0.938,0.925,0.927,2518517337
2023-11-22,563300.SH,1.038,1.048,1.032,1.034,54869690
2023-11-22,588000.SH,0.924,0.927,0.911,0.913,2964864363
2023-11-23,563300.SH,1.034,1.044,1.027,1.043,81809700
2023-11-23,588000.SH,0.912,0.919,0.907,0.918,2511255416
2023-11-24,563300.SH,1.041,1.041,1.022,1.026,93989900
2023-11-24,588000.SH,0.916,0.916,0.904,0.906,2415461004
